00000000000i[MEM0 ] allocated memory at 00BE0020. after alignment, vector=00BE1000
00000000000i[MEM0 ] 32.00MB
00000000000i[MEM0 ] rom at 0xf0000/65536 ('../BIOS-bochs-latest')
00000000000i[MEM0 ] rom at 0xc0000/32769 ('../VGABIOS-elpin-2.40')
00000000000i[CMOS ] Setting initial clock to: Mon May 19 14:33:13 2003 (time0=1053334993)
00000000000i[DMA  ] channel 4 used by cascade
00000000000i[DMA  ] channel 2 used by Floppy Drive
00000000000i[FDD  ] fd0: 'menuet.img' ro=0, h=2,t=80,spt=18
00000000000i[KMAP ] Loading keymap from '../keymaps/x11-pc-us.map'
00000000000i[KMAP ] Loaded 168 symbols
00000000000i[VGA  ] interval=30000
00000000000i[VGA  ] VBE Bochs Display Extension Enabled
00000000000i[     ] init_mem of 'harddrv' plugin device by virtual method
00000000000i[     ] init_mem of 'keyboard' plugin device by virtual method
00000000000i[     ] init_mem of 'serial' plugin device by virtual method
00000000000i[     ] init_mem of 'parallel' plugin device by virtual method
00000000000i[     ] init_dev of 'harddrv' plugin device by virtual method
00000000000i[HD   ] Boot device will be 'a'
00000000000i[HD   ] Floppy boot signature check is enabled
00000000000i[     ] init_dev of 'keyboard' plugin device by virtual method
00000000000i[KBD  ] will paste characters every 1000 keyboard ticks
00000000000i[     ] init_dev of 'serial' plugin device by virtual method
00000000000i[SER  ] com1 at 0x3f8/8 irq 4
00000000000i[     ] init_dev of 'parallel' plugin device by virtual method
00000000000i[PAR  ] parallel port 1 at 0x378
00000000000i[     ] reset of 'harddrv' plugin device by virtual method
00000000000i[     ] reset of 'keyboard' plugin device by virtual method
00000000000i[     ] reset of 'serial' plugin device by virtual method
00000000000i[     ] reset of 'parallel' plugin device by virtual method
00000004256i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
00000330043i[KBD  ] reset-disable command received
00000506792e[HD   ] device set to 0 which does not exist
00000507085e[HD   ] device set to 1 which does not exist
00304494012i[FDD  ] increment_sector: clamping cylinder to max
00750316000i[VGA  ] Changing timer interval to 3000

-0775436499i[KBD  ] system reset
-0775436499e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0775436499i[     ] reset of 'harddrv' plugin device by virtual method
-0775436499i[     ] reset of 'keyboard' plugin device by virtual method
-0775436499i[     ] reset of 'serial' plugin device by virtual method
-0775436499i[     ] reset of 'parallel' plugin device by virtual method
-0652126057i[BIOS ] *** int 15h function AX=5308, BX=0001 not yet supported!
-0652121644i[BIOS ] *** int 15h function AX=530D, BX=0001 not yet supported!
-0652117231i[BIOS ] *** int 15h function AX=530F, BX=0001 not yet supported!
-0652112818i[BIOS ] *** int 15h function AX=530E, BX=0000 not yet supported!
-0652108404i[BIOS ] *** int 15h function AX=5307, BX=0001 not yet supported!
-0652103978i[BIOS ] *** int 15h function AX=5304, BX=0000 not yet supported!
-0652099565i[BIOS ] *** int 15h function AX=5302, BX=0000 not yet supported!
-0652095151i[BIOS ] *** int 15h function AX=5308, BX=0001 not yet supported!
-0652090738i[BIOS ] *** int 15h function AX=530D, BX=0001 not yet supported!
-0652086325i[BIOS ] *** int 15h function AX=530F, BX=0001 not yet supported!
-0652081912i[BIOS ] *** int 15h function AX=530E, BX=0000 not yet supported!
-0652077498i[BIOS ] *** int 15h function AX=5307, BX=0001 not yet supported!
-0613643024i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0613317237i[KBD  ] reset-disable command received
-0613140339e[HD   ] device set to 0 which does not exist
-0613140046e[HD   ] device set to 1 which does not exist
-0520415796i[WGUI ] system RESET callback.
-0520415796e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0520415796i[     ] reset of 'harddrv' plugin device by virtual method
-0520415796i[     ] reset of 'keyboard' plugin device by virtual method
-0520415796i[     ] reset of 'serial' plugin device by virtual method
-0520415796i[     ] reset of 'parallel' plugin device by virtual method
-0520411540i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0520087235i[KBD  ] reset-disable command received
-0519910539e[HD   ] device set to 0 which does not exist
-0519910246e[HD   ] device set to 1 which does not exist
-0476191296i[WGUI ] system RESET callback.
-0476191296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0476191296i[     ] reset of 'harddrv' plugin device by virtual method
-0476191296i[     ] reset of 'keyboard' plugin device by virtual method
-0476191296i[     ] reset of 'serial' plugin device by virtual method
-0476191296i[     ] reset of 'parallel' plugin device by virtual method
-0476187040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0475857225i[KBD  ] reset-disable command received
-0475680529e[HD   ] device set to 0 which does not exist
-0475680236e[HD   ] device set to 1 which does not exist
-0468163296i[WGUI ] system RESET callback.
-0468163296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0468163296i[     ] reset of 'harddrv' plugin device by virtual method
-0468163296i[     ] reset of 'keyboard' plugin device by virtual method
-0468163296i[     ] reset of 'serial' plugin device by virtual method
-0468163296i[     ] reset of 'parallel' plugin device by virtual method
-0468159040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0467597251i[KBD  ] reset-disable command received
-0467420535e[HD   ] device set to 0 which does not exist
-0467420242e[HD   ] device set to 1 which does not exist
-0461227296i[WGUI ] system RESET callback.
-0461227296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0461227296i[     ] reset of 'harddrv' plugin device by virtual method
-0461227296i[     ] reset of 'keyboard' plugin device by virtual method
-0461227296i[     ] reset of 'serial' plugin device by virtual method
-0461227296i[     ] reset of 'parallel' plugin device by virtual method
-0461223040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0460897253i[KBD  ] reset-disable command received
-0460719547e[HD   ] device set to 0 which does not exist
-0460719254e[HD   ] device set to 1 which does not exist
-0455367796i[WGUI ] system RESET callback.
-0455367796e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0455367796i[     ] reset of 'harddrv' plugin device by virtual method
-0455367796i[     ] reset of 'keyboard' plugin device by virtual method
-0455367796i[     ] reset of 'serial' plugin device by virtual method
-0455367796i[     ] reset of 'parallel' plugin device by virtual method
-0455363540i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0455037221i[KBD  ] reset-disable command received
-0454860525e[HD   ] device set to 0 which does not exist
-0454860232e[HD   ] device set to 1 which does not exist
-0450001796i[WGUI ] system RESET callback.
-0450001796e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0450001796i[     ] reset of 'harddrv' plugin device by virtual method
-0450001796i[     ] reset of 'keyboard' plugin device by virtual method
-0450001796i[     ] reset of 'serial' plugin device by virtual method
-0450001796i[     ] reset of 'parallel' plugin device by virtual method
-0449997540i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0449667231i[KBD  ] reset-disable command received
-0449490535e[HD   ] device set to 0 which does not exist
-0449490242e[HD   ] device set to 1 which does not exist
-0446728296i[WGUI ] system RESET callback.
-0446728296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0446728296i[     ] reset of 'harddrv' plugin device by virtual method
-0446728296i[     ] reset of 'keyboard' plugin device by virtual method
-0446728296i[     ] reset of 'serial' plugin device by virtual method
-0446728296i[     ] reset of 'parallel' plugin device by virtual method
-0446724040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0446397227i[KBD  ] reset-disable command received
-0446220531e[HD   ] device set to 0 which does not exist
-0446220238e[HD   ] device set to 1 which does not exist
-0443280296i[WGUI ] system RESET callback.
-0443280296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0443280296i[     ] reset of 'harddrv' plugin device by virtual method
-0443280296i[     ] reset of 'keyboard' plugin device by virtual method
-0443280296i[     ] reset of 'serial' plugin device by virtual method
-0443280296i[     ] reset of 'parallel' plugin device by virtual method
-0443276040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0442947251i[KBD  ] reset-disable command received
-0442770517e[HD   ] device set to 0 which does not exist
-0442770224e[HD   ] device set to 1 which does not exist
-0439652796i[WGUI ] system RESET callback.
-0439652796e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0439652796i[     ] reset of 'harddrv' plugin device by virtual method
-0439652796i[     ] reset of 'keyboard' plugin device by virtual method
-0439652796i[     ] reset of 'serial' plugin device by virtual method
-0439652796i[     ] reset of 'parallel' plugin device by virtual method
-0439648540i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0439317243i[KBD  ] reset-disable command received
-0439140547e[HD   ] device set to 0 which does not exist
-0439140254e[HD   ] device set to 1 which does not exist
-0436271296i[WGUI ] system RESET callback.
-0436271296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0436271296i[     ] reset of 'harddrv' plugin device by virtual method
-0436271296i[     ] reset of 'keyboard' plugin device by virtual method
-0436271296i[     ] reset of 'serial' plugin device by virtual method
-0436271296i[     ] reset of 'parallel' plugin device by virtual method
-0436267040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0435937225i[KBD  ] reset-disable command received
-0435760529e[HD   ] device set to 0 which does not exist
-0435760236e[HD   ] device set to 1 which does not exist
-0432371796i[WGUI ] system RESET callback.
-0432371796e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0432371796i[     ] reset of 'harddrv' plugin device by virtual method
-0432371796i[     ] reset of 'keyboard' plugin device by virtual method
-0432371796i[     ] reset of 'serial' plugin device by virtual method
-0432371796i[     ] reset of 'parallel' plugin device by virtual method
-0432367540i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0432037231i[KBD  ] reset-disable command received
-0431860535e[HD   ] device set to 0 which does not exist
-0431860242e[HD   ] device set to 1 which does not exist
-0428113796i[WGUI ] system RESET callback.
-0428113796e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0428113796i[     ] reset of 'harddrv' plugin device by virtual method
-0428113796i[     ] reset of 'keyboard' plugin device by virtual method
-0428113796i[     ] reset of 'serial' plugin device by virtual method
-0428113796i[     ] reset of 'parallel' plugin device by virtual method
-0428109540i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0427777255i[KBD  ] reset-disable command received
-0427600521e[HD   ] device set to 0 which does not exist
-0427600228e[HD   ] device set to 1 which does not exist
-0423992796i[WGUI ] system RESET callback.
-0423992796e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0423992796i[     ] reset of 'harddrv' plugin device by virtual method
-0423992796i[     ] reset of 'keyboard' plugin device by virtual method
-0423992796i[     ] reset of 'serial' plugin device by virtual method
-0423992796i[     ] reset of 'parallel' plugin device by virtual method
-0423988540i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0423657243i[KBD  ] reset-disable command received
-0423480547e[HD   ] device set to 0 which does not exist
-0423480254e[HD   ] device set to 1 which does not exist
-0420660296i[WGUI ] system RESET callback.
-0420660296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0420660296i[     ] reset of 'harddrv' plugin device by virtual method
-0420660296i[     ] reset of 'keyboard' plugin device by virtual method
-0420660296i[     ] reset of 'serial' plugin device by virtual method
-0420660296i[     ] reset of 'parallel' plugin device by virtual method
-0420656040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0420327251i[KBD  ] reset-disable command received
-0420150517e[HD   ] device set to 0 which does not exist
-0420150224e[HD   ] device set to 1 which does not exist
-0415284296i[WGUI ] system RESET callback.
-0415284296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0415284296i[     ] reset of 'harddrv' plugin device by virtual method
-0415284296i[     ] reset of 'keyboard' plugin device by virtual method
-0415284296i[     ] reset of 'serial' plugin device by virtual method
-0415284296i[     ] reset of 'parallel' plugin device by virtual method
-0415280040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0414947223i[KBD  ] reset-disable command received
-0414770527e[HD   ] device set to 0 which does not exist
-0414770234e[HD   ] device set to 1 which does not exist
-0410300296i[WGUI ] system RESET callback.
-0410300296e[SYS  ] # bx_pc_system_c::ResetSignal() called
-0410300296i[     ] reset of 'harddrv' plugin device by virtual method
-0410300296i[     ] reset of 'keyboard' plugin device by virtual method
-0410300296i[     ] reset of 'serial' plugin device by virtual method
-0410300296i[     ] reset of 'parallel' plugin device by virtual method
-0410296040i[BIOS ]  rombios.c,v 1.85.2.1 2003/01/16 21:58:42 cbothamy Exp $
-0409967251i[KBD  ] reset-disable command received
-0409790517e[HD   ] device set to 0 which does not exist
-0409790224e[HD   ] device set to 1 which does not exist
-0401845296p[WGUI ] >>PANIC<< POWER button turned off.
-0401845296i[SYS  ] Last time is 1053342769
-0401845296i[CPU  ] real mode
-0401845296i[CPU  ] CS.d_b = 16 bit
-0401845296i[CPU  ] SS.d_b = 16 bit
-0401845296i[CPU  ] | EAX=000000fa  EBX=00000b02  ECX=000000fa  EDX=00001000
-0401845296i[CPU  ] | ESP=00007bf6  EBP=000007f3  ESI=00000826  EDI=0000a000
-0401845296i[CPU  ] | IOPL=0 NV UP DI PL ZR NA PE NC
-0401845296i[CPU  ] | SEG selector     base    limit G D
-0401845296i[CPU  ] | SEG sltr(index|ti|rpl)     base    limit G D
-0401845296i[CPU  ] |  DS:1000( 0000| 0|  0) 00010000 0000ffff 0 0
-0401845296i[CPU  ] |  ES:1000( 0000| 0|  0) 00010000 0000ffff 0 0
-0401845296i[CPU  ] |  FS:0000( 0000| 0|  0) 00000000 0000ffff 0 0
-0401845296i[CPU  ] |  GS:0000( 0000| 0|  0) 00000000 0000ffff 0 0
-0401845296i[CPU  ] |  SS:0000( 0000| 0|  0) 00000000 0000ffff 0 0
-0401845296i[CPU  ] |  CS:1000( 0000| 0|  0) 00010000 0000ffff 0 0
-0401845296i[CPU  ] | EIP=00000b90 (00000b90)
-0401845296i[CPU  ] | CR0=0x60000010 CR1=0x00000000 CR2=0x00000000
-0401845296i[CPU  ] | CR3=0x00000000 CR4=0x00000000
-0401845296i[     ] restoring default signal behavior
-0401845296i[CTRL ] quit_sim called with exit code 1
